id_product;id_feature;id_feature_value;
"72";"54";"176";
"72";"66";"2417";
"72";"75";"2425";
"72";"80";"2436";
"72";"81";"2429";
"72";"85";"2466";
"72";"86";"2468";
"72";"90";"2470";
"72";"99";"57043";
"72";"100";"57044";
"73";"1";"4279";
"73";"9";"27";
"73";"10";"30";
"73";"11";"32";
"73";"13";"40";
"73";"18";"50";
"73";"23";"60";
"73";"39";"79";
"73";"48";"76";
"73";"54";"176";
"73";"59";"2410";
"73";"60";"2411";
"73";"66";"2417";
"73";"74";"2427";
"73";"75";"2425";
"73";"80";"2436";
"73";"81";"2429";
"73";"85";"2466";
"73";"88";"2469";
"73";"99";"38417";
"73";"100";"38418";
"74";"1";"138";
"74";"8";"26";
"74";"9";"27";
"74";"10";"30";
"74";"48";"75";
"74";"49";"124";
"74";"60";"2411";
"74";"99";"25001";
"74";"100";"25002";
"75";"9";"27";
"75";"19";"52";
"75";"32";"87";
"75";"66";"2417";
"75";"68";"2419";
"75";"86";"2468";
"75";"91";"2473";
"75";"95";"2476";
"75";"98";"2479";
"75";"99";"53958";
"75";"100";"53959";
"76";"1";"127";
"76";"8";"26";
"76";"9";"28";
"76";"10";"30";
"76";"13";"40";
"76";"14";"42";
"76";"19";"52";
"76";"21";"56";
"76";"23";"60";
"76";"32";"87";
"76";"39";"79";
"76";"47";"77";
"76";"48";"75";
"76";"49";"117";
"76";"66";"2417";
"76";"68";"2419";
"76";"69";"2420";
"76";"86";"2468";
"76";"91";"2473";
"76";"95";"2476";
"76";"96";"2478";
"76";"98";"2479";
"76";"99";"67205";
"76";"100";"67206";
"77";"1";"145";
"77";"8";"26";
"77";"9";"28";
"77";"10";"30";
"77";"13";"40";
"77";"14";"42";
"77";"19";"52";
"77";"21";"56";
"77";"23";"60";
"77";"32";"87";
"77";"39";"79";
"77";"48";"75";
"77";"49";"133";
"77";"66";"2417";
"77";"68";"2419";
"77";"69";"2420";
"77";"86";"2468";
"77";"91";"2473";
"77";"95";"2476";
"77";"96";"2478";
"77";"98";"2479";
"77";"99";"64869";
"77";"100";"64870";
"78";"1";"125";
"78";"9";"27";
"78";"10";"30";
"78";"13";"40";
"78";"14";"42";
"78";"17";"48";
"78";"19";"52";
"78";"32";"87";
"78";"39";"79";
"78";"48";"75";
"78";"54";"177";
"78";"59";"2410";
"78";"66";"2417";
"78";"69";"2420";
"78";"85";"2466";
"78";"86";"2468";
"78";"91";"2473";
"78";"96";"2478";
"78";"98";"2479";
"78";"99";"64927";
"78";"100";"64928";
"80";"1";"141";
"80";"8";"26";
"80";"9";"27";
"80";"10";"30";
"80";"47";"77";
"80";"48";"76";
"80";"57";"2408";
"80";"66";"2417";
"80";"80";"2444";
"80";"81";"2429";
"80";"85";"2466";
"80";"99";"67507";
"80";"100";"67508";
"81";"1";"135";
"81";"9";"27";
"81";"10";"30";
"81";"32";"87";
"81";"46";"99";
"81";"47";"77";
"81";"48";"76";
"81";"49";"143";
"81";"57";"2408";
"81";"69";"2420";
"81";"83";"2464";
"81";"84";"2463";
"81";"86";"2468";
"81";"87";"2467";
"81";"91";"2473";
"81";"95";"2476";
"81";"96";"2478";
"81";"99";"55822";
"81";"100";"55823";
"83";"1";"142";
"83";"8";"26";
"83";"9";"27";
"83";"10";"31";
"83";"32";"87";
"83";"36";"92";
"83";"45";"98";
"83";"48";"76";
"83";"54";"178";
"83";"57";"2408";
"83";"66";"2417";
"83";"69";"2420";
"83";"74";"2427";
"83";"75";"2425";
"83";"83";"2464";
"83";"84";"2463";
"83";"86";"2468";
"83";"87";"2467";
"83";"91";"2473";
"83";"95";"2476";
"83";"96";"2478";
"83";"99";"67135";
"83";"100";"67136";
"85";"1";"4279";
"85";"10";"30";
"85";"32";"87";
"85";"48";"75";
"85";"54";"178";
"85";"57";"2408";
"85";"66";"2417";
"85";"78";"2432";
"85";"80";"2436";
"85";"81";"2429";
"85";"83";"2464";
"85";"86";"2468";
"85";"87";"2467";
"85";"90";"2470";
"85";"99";"55436";
"85";"100";"55437";
"86";"1";"141";
"86";"9";"27";
"86";"10";"30";
"86";"14";"42";
"86";"16";"46";
"86";"32";"87";
"86";"36";"92";
"86";"46";"99";
"86";"47";"77";
"86";"48";"75";
"86";"57";"2408";
"86";"66";"2417";
"86";"69";"2420";
"86";"86";"2468";
"86";"92";"2472";
"86";"95";"2476";
"86";"96";"2478";
"86";"98";"2479";
"86";"99";"67503";
"86";"100";"67504";
"87";"1";"138";
"87";"8";"26";
"87";"9";"27";
"87";"10";"30";
"87";"11";"33";
"87";"13";"40";
"87";"14";"42";
"87";"16";"46";
"87";"17";"48";
"87";"18";"50";
"87";"32";"88";
"87";"36";"92";
"87";"47";"77";
"87";"48";"75";
"87";"49";"124";
